0000000000000000000000000000000000000000  0:0.5716 1:-0.7306 2:-0.8677 3:-0.6958 4:-0.7093 5:-0.9312 6:-0.8666 7:-1.4165 8:-0.9115 9:-0.7383 10:-0.8524 11:-0.7379 12:-1.0570 13:-0.7033 14:-0.6995 15:-1.0705 16:-0.7336 17:-1.0053 18:-1.4068 19:-0.7126 20:-0.6791 21:-1.1024 22:-0.7191 23:-0.6908 24:-0.8076 25:-0.7521 26:-0.7950 27:-0.8133 28:-1.1070 29:-0.7409 30:-0.7671 31:-0.7594 32:-0.7496 33:-0.7686 34:-1.2259 35:-0.8460 36:-1.1294 37:-0.9578 38:-0.9476 39:-1.1307
1000000000000000000000000000000000000000  0:-0.7857 1:0.6419 2:0.4514 3:-0.8532 4:-0.7489 5:-0.8283 6:-0.7325 7:-0.9185 8:-0.7606 9:-0.6850 10:-0.9151 11:-0.8344 12:-0.8771 13:-1.1906 14:-0.8666 15:-0.8047 16:-1.0573 17:-0.8826 18:-0.6735 19:-0.7295 20:-0.7088 21:-0.7285 22:-0.7788 23:-0.7105 24:-0.7966 25:-0.7276 26:-0.9002 27:-0.8467 28:-1.0533 29:-0.7802 30:-0.7303 31:-0.6767 32:-1.1103 33:-0.8564 34:-0.8075 35:-0.7552 36:-1.2862 37:-1.0242 38:-0.7671 39:-0.7332
1010000000000000000000000000000000000000  0:-1.1006 1:0.5223 2:-0.9968 3:-0.7286 4:-1.0428 5:-1.2007 6:-0.7009 7:-0.9280 8:-0.9201 9:-0.7233 10:-0.8102 11:-0.6946 12:-0.8297 13:-1.0570 14:-1.0724 15:-0.7099 16:-0.7465 17:-1.0744 18:-0.7687 19:-0.7598 20:-0.7404 21:-1.0082 22:-0.7174 23:-0.7343 24:-0.7250 25:-0.7875 26:-0.8873 27:-0.7030 28:-1.2573 29:-1.0151 30:-0.7587 31:-0.7084 32:-0.7931 33:-0.7017 34:-0.9110 35:-0.6950 36:-0.6942 37:-0.8774 38:-0.6858 39:-0.7197
1100000000000000000000000000000000000000  0:-0.7605 1:-0.6852 2:0.6449 3:0.3898 4:-0.6794 5:-0.7235 6:-0.7028 7:-1.2065 8:-1.2461 9:-1.2511 10:-0.8990 11:-0.8089 12:-1.2368 13:-0.7443 14:-1.2434 15:-0.7565 16:-0.7663 17:-0.7945 18:-0.6887 19:-0.8853 20:-1.0310 21:-0.7173 22:-1.0684 23:-0.7908 24:-1.1066 25:-0.8258 26:-0.7170 27:-0.7320 28:-1.0891 29:-0.9801 30:-0.6904 31:-0.7061 32:-1.0751 33:-0.9474 34:-0.7438 35:-0.7250 36:-0.7187 37:-1.0782 38:-0.7183 39:-0.6901
1101000000000000000000000000000000000000  0:-1.0066 1:-0.7766 2:0.6404 3:-1.0174 4:-1.0229 5:-0.6979 6:-1.0437 7:-1.2550 8:-0.9228 9:-0.8795 10:-0.6995 11:-1.2195 12:-0.9626 13:-0.7046 14:-1.2154 15:-0.7355 16:-0.7075 17:-0.7354 18:-1.0129 19:-0.7084 20:-0.9427 21:-0.7670 22:-0.7302 23:-1.0605 24:-0.6745 25:-0.7201 26:-0.7103 27:-0.7409 28:-0.8132 29:-0.8514 30:-0.6992 31:-0.7462 32:-0.8053 33:-1.0735 34:-0.8081 35:-1.0698 36:-0.8045 37:-1.1254 38:-0.9980 39:-1.0693
1110000000000000000000000000000000000000  0:-0.9337 1:-1.1034 2:-0.7131 3:0.6063 4:-0.7363 5:-0.8602 6:-0.8892 7:-0.9436 8:-1.0484 9:-0.7548 10:-0.7093 11:-0.8762 12:-1.1446 13:-1.0591 14:-0.7327 15:-0.8539 16:-0.6983 17:-0.6924 18:-0.7111 19:-0.8919 20:-1.3366 21:-0.6876 22:-0.7093 23:-0.9749 24:-0.8703 25:-0.7080 26:-0.8994 27:-0.7222 28:-0.7182 29:-0.9376 30:-0.6751 31:-0.7202 32:-0.8579 33:-0.7568 34:-0.7460 35:-0.7239 36:-0.7324 37:-0.7386 38:-0.8775 39:-0.8155
1111000000000000000000000000000000000000  0:-0.7743 1:-0.7283 2:-1.0288 3:-0.7750 4:0.6045 5:-1.0087 6:-0.8574 7:-1.2759 8:-0.8371 9:-0.8611 10:-0.7368 11:-1.0386 12:-0.7441 13:-0.7760 14:-0.7009 15:-0.7236 16:-0.7277 17:-0.6954 18:-0.7237 19:-0.7442 20:-0.7554 21:-0.9920 22:-0.7241 23:-0.7120 24:-0.7901 25:-0.7443 26:-0.8792 27:-0.7047 28:-0.7318 29:-0.9225 30:-0.7467 31:-1.1059 32:-0.7164 33:-0.7180 34:-0.7271 35:-0.7508 36:-0.6765 37:-1.0470 38:-0.7398 39:-0.7105
1111100000000000000000000000000000000000  0:-0.7037 1:-0.7318 2:-0.8037 3:-1.2457 4:-0.7458 5:0.5295 6:-0.7049 7:-1.0692 8:-1.1817 9:-0.7144 10:-0.8606 11:-1.2744 12:-0.7174 13:-0.7160 14:-0.7777 15:-0.7196 16:-1.2708 17:-0.7612 18:-0.7037 19:-1.2022 20:-0.7230 21:-0.7207 22:-0.6640 23:-0.6995 24:-0.6935 25:-1.1551 26:-0.7241 27:-0.7023 28:-0.9775 29:-0.7834 30:-0.6492 31:-0.7393 32:-0.8022 33:-1.0801 34:-0.7410 35:-0.8769 36:-0.7258 37:-1.1521 38:-0.8569 39:-0.7166
1111110000000000000000000000000000000000  0:-0.7356 1:-0.7489 2:-0.7839 3:-0.7025 4:-0.8865 5:-0.7844 6:0.6612 7:0.5720 8:-0.6867 9:-0.9198 10:-0.6914 11:-0.7062 12:-1.1198 13:-0.7216 14:-0.6964 15:-0.7215 16:-1.0231 17:-1.0312 18:-0.8366 19:-0.7416 20:-0.6911 21:-0.7574 22:-0.6628 23:-0.7049 24:-0.6953 25:-0.7010 26:-0.9167 27:-0.9085 28:-0.8266 29:-1.0514 30:-0.7267 31:-0.8477 32:-0.7187 33:-1.0164 34:-1.0293 35:-0.9252 36:-0.8166 37:-0.7213 38:-0.7090 39:-1.2071
1111110100000000000000000000000000000000  0:-0.8194 1:-0.7802 2:-1.1665 3:-0.6971 4:-0.7458 5:-0.8799 6:0.5804 7:-0.8476 8:-0.7346 9:-0.6802 10:-0.7137 11:-1.2008 12:-0.7469 13:-0.8810 14:-0.7938 15:-0.6943 16:-0.6969 17:-0.7825 18:-0.7034 19:-0.8426 20:-0.6888 21:-0.6705 22:-1.0756 23:-0.7020 24:-0.9033 25:-0.7903 26:-1.0807 27:-0.7020 28:-0.7454 29:-0.6735 30:-0.6994 31:-0.7720 32:-0.9175 33:-0.7289 34:-0.7257 35:-0.6325 36:-0.6459 37:-0.7383 38:-0.7044 39:-0.7288
